country_code,year,mean_avg_welfare,median_quantile,welfare_std,welfare_iqr,total_pop,is_partial_year,bottom20_avg_welfare,bottom20_welfare_share,bottom40_welfare_share,top20_avg_welfare,top20_welfare_share,top10_avg_welfare,top10_welfare_share,p10_avg_welfare,p90_avg_welfare,top20_bottom20_ratio,p90_p10_ratio,welfare_gap,time_code,country_name,gdp_per_capita,life_expectancy,school_enrollment_secondary,population_total,electricity_access,unemployment_total,log_gdp_per_capita,date,decade,inequality_category,gdp_per_capita_norm,life_expectancy_norm,school_enrollment_secondary_norm,electricity_access_norm,development_score,development_tier
SRB,2021,21.90373663821806,18.55736515379532,16.95070768278167,13.38873550086538,67451.36566802025,False,7.762444146047325,0.0708778075107357,0.1994184451317238,44.16071669252099,0.4032254169406745,56.74497583104769,0.25906527625080167,5.445117178364425,56.74497583104769,5.689022150968758,10.421258895312228,0.3323476094299388,YR2021,Serbia,9680.52798074468,72.780487804878,92.3795013427734,6834326.0,100.0,9.843,9.177975017064224,2021-01-01,2020,Medium inequality,0.06996285885976562,0.7339826969778913,0.5272587885593114,1.0,0.5828010860992421,Low development
SRB,2022,21.973693303752803,19.18080643483821,15.154724797407397,14.302276584705874,65952.77369104863,False,7.542758779833095,0.0686526263524844,0.1961919374557367,43.73997832672171,0.39811221283635323,54.298871188891084,0.2471085330913299,5.173492924916255,54.298871188891084,5.79893638434631,10.495592045246692,0.32945958648386886,YR2022,Serbia,10024.8191112596,75.2365853658537,91.9540023803711,6664449.0,100.0,8.439,9.21291895569576,2022-01-01,2020,Medium inequality,0.07251865407907794,0.7894488689472617,0.5241283215615585,1.0,0.5965239611469746,Medium development
SUR,2022,18.695365860214693,14.43764249914069,17.231644525243464,12.965153432391505,6180.320000000029,False,5.549390868184857,0.0593664858947153,0.1707600826371467,42.641478521505384,0.4561716399704202,56.22773359235798,0.3007575995718584,4.1205553496021645,56.22773359235798,7.683992628086933,13.645668804761161,0.39680515407570494,YR2022,Suriname,6084.43876736445,73.254,77.7318215623084,623164.0,99.0,7.973,8.713654109209013,2022-01-01,2020,High inequality,0.04326781270498374,0.7446760461597526,0.41949335973778756,0.988998899889989,0.5491090296231282,Low development
SVK,2019,29.279455391922895,27.83906599313729,12.702464138456872,14.244367182402634,53893.27261547089,False,13.929576486768388,0.0951491501485444,0.2491461280058494,48.076721274936816,0.328399013105957,55.09302615363832,0.1881627421554994,10.416334223780629,55.09302615363832,3.451412993108913,5.289099309799432,0.23324986295741257,YR2019,Slovak Republic,19406.0589683582,77.6658536585366,91.3246917724609,5454147.0,100.0,5.761,9.873392143217202,2019-01-01,2010,Low inequality,0.142158926084156,0.8443091542317609,0.5194983782162772,1.0,0.6264916146330486,Medium development
SVK,2020,28.098478846163044,26.84656812372935,12.531472574840134,15.219877742791475,53969.14934749632,False,12.793529966771567,0.0910620823057015,0.2409566443933578,46.741719837942284,0.3326992901918245,53.56525616232159,0.1906340071132929,9.735081271563976,53.56525616232159,3.6535436239524053,5.502291626345729,0.24163720788612297,YR2020,Slovak Republic,19735.4858280801,76.8658536585366,90.813346862793,5458827.0,100.0,6.719,9.890224274245904,2020-01-01,2020,Low inequality,0.14460437854739866,0.8262427149011222,0.5157363282334836,1.0,0.6216458554205011,Medium development
SVK,2021,27.93114549394669,26.39538513331931,12.5122994739218,15.025741402982526,53684.31488002783,False,12.758128032512143,0.0913541339382382,0.2428644831321588,46.488684896338086,0.3328806182074645,53.55318519509988,0.1917328639697431,9.547216934184434,53.55318519509988,3.6438484374720774,5.60929803567668,0.2415264842692263,YR2021,Slovak Republic,22123.3342114545,74.6146341463415,91.0899124145508,5447247.0,100.0,6.894,10.004433377285704,2021-01-01,2020,Low inequality,0.16233022432664823,0.7754033139798446,0.5177710672316824,1.0,0.6138761513845439,Medium development
SVK,2022,25.30400849983261,24.71271291198323,11.040008504271018,13.68634474801669,53563.85071886089,False,10.664571437536901,0.0842915575024997,0.2387931366329369,41.02025288274164,0.3242194048663304,46.13831578621533,0.1823359954472051,7.079250052249586,46.13831578621533,3.846404248215689,6.51740162385617,0.2399278473638307,YR2022,Slovak Republic,21317.7943982363,76.9658536585366,92.2043075561523,5431752.0,100.0,6.143,9.96734432875576,2022-01-01,2020,Low inequality,0.15635041648056838,0.8285010198174522,0.5259698585837075,1.0,0.627705323720432,Medium development
SVK,2023,25.447556410012744,24.46239230435907,11.21372653115346,13.186344376584099,53580.2542092514,False,11.508023829550263,0.0904450206859336,0.2434974257879513,41.78726506180178,0.3284186849890226,47.83567515330168,0.1879774795763101,8.297574673994308,47.83567515330168,3.6311416869419917,5.765018940200078,0.237973664303089,YR2023,Slovak Republic,24614.8734642794,78.0170731707317,92.6436767578125,5426740.0,100.0,5.843,10.111146776603526,2023-01-01,2020,Low inequality,0.180825804220255,0.8522407617427724,0.5292023712503913,1.0,0.6405672343033546,Medium development
SVN,2019,48.70850130588276,44.28161330217392,24.647072134117355,23.79088928008207,20553.02949988842,False,24.69904016055471,0.101415726201257,0.2479990513601378,84.23617106645345,0.345878722638015,101.04016185826167,0.2074384535540191,20.571860042404086,101.04016185826167,3.4105038300630715,4.911571518083001,0.244462996436758,YR2019,Slovenia,25814.1687167572,81.5292682926829,111.369567871094,2088385.0,100.0,4.446,10.158717532901813,2019-01-01,2010,Low inequality,0.18972859839982767,0.9315568368528917,0.6669718826087206,1.0,0.69706432946536,High development
SVN,2020,51.11346692770458,46.31383187975187,25.0162508830255,24.721583215944847,20827.6431937182,False,26.19868517006343,0.1025118691601159,0.250255902087457,87.9192253815864,0.3440158950905895,104.83383624039547,0.2051002261080726,21.66982033300859,104.83383624039547,3.3558640371024975,4.837780592057201,0.2415040259304736,YR2020,Slovenia,25392.0651093612,80.5317073170732,110.359169006348,2102419.0,100.0,4.971,10.142231388537414,2020-01-01,2020,Low inequality,0.18659517355608068,0.9090288682973102,0.6595382092507496,1.0,0.6887905627760351,High development
